samples,predicted
"Осы категория бойынша:
","Осы категория бойынша:
"
"« СOVID-19: Павлодар облысындағы тоғыз ауданда ауру жұқтырғандар көбейді
","« СОВИД он тоғыз: Павлодар облысындағы тоғыз ауданда ауру жұқтырғандар көбейді
"
"Алматылықтар мүлік иелері бірлестігін құруға асықпайды »
","Алматылықтар мүлік иелері бірлестігін құруға асықпайды »
"
"Атырау мұнай өңдеу зауыты қоршаған ортаға нормативтен тыс зиянды қалдық шығарған.
","Атырау мұнай өңдеу зауыты қоршаған ортаға нормативтен тыс зиянды қалдық шығарған 
"
"Оны дер кезінде байқаған табиғат жанашырлары дабыл қақты.
","Оны дер кезінде байқаған табиғат жанашырлары дабыл қақты 
"
"Биологиялық тазалау қондырғысынан шыққан ақауға байланысты май аралас су қоршаған ортаға жайылды.
","Биологиялық тазалау қондырғысынан шыққан ақауға байланысты май аралас су қоршаған ортаға жайылды 
"
"Оқиға кеше, 1 қараша күні болды.
","Оқиға кеше, бірінші қараша күні болды 
"
"Тазалау қондырғысындағы апатты жағдайға байланысты зауыт мұнай аралас суды арнайы полигонға жіберуге мәжбүр болды.
","Тазалау қондырғысындағы апатты жағдайға байланысты зауыт мұнай аралас суды арнайы полигонға жіберуге мәжбүр болды 
"
"Қазір зауыттағы техникалық ақауды қалпына келтіру жұмыстары қолға алынды.
","Қазір зауыттағы техникалық ақауды қалпына келтіру жұмыстары қолға алынды 
"
"Ал қоршаған ортаға келтірген залал мен апатты жағдайдың себебін табиғат жанашырлары мен экологтардан құрылған арнайы комиссия анықтайтын болады.
","Ал қоршаған ортаға келтірген залал мен апатты жағдайдың себебін табиғат жанашырлары мен экологтардан құрылған арнайы комиссия анықтайтын болады 
"
"Арман Хайруллин, «Атамекен-Эко» қоғамдық қорының төрағасы:
","Арман Хайруллин, «Атамекен Эко» қоғамдық қорының төрағасы:
"
"– Қазір қара май өзекке ағып жатыр.
","  Қазір қара май өзекке ағып жатыр 
"
"Бұл – АМӨЗ аумағынан шыққан сарқынды сулар.
","Бұл   АМӨЗ аумағынан шыққан сарқынды сулар 
"
"Ешқандай тазалық жоқ.
","Ешқандай тазалық жоқ 
"
"Осының барлығы «сарық арыққа» ағып жатыр. Оның қоршаған ортаға мыңдаған текше метр зиян тиюде.
","Осының барлығы «сарық арыққа» ағып жатыр  Оның қоршаған ортаға мыңдаған текше метр зиян тиюде 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Қостанайда карантин тәртібіне бағынбағандар жауапқа тартылды
","« Қостанайда карантин тәртібіне бағынбағандар жауапқа тартылды
"
"Павлодар облысында мал жайылымы тапшы »
","Павлодар облысында мал жайылымы тапшы »
"
"Өткен тәулікте коронавирустық инфекция белгілері бар пневмонияның 226 жағдайы және 2 өлім жағдайы тіркелді.
","Өткен тәулікте коронавирустық инфекция белгілері бар пневмонияның екі жүз жиырма алты жағдайы және екі өлім жағдайы тіркелді 
"
"Оған қоса 71 адам емделіп шықты. 1 тамыздан барлығы: ауырғандар - 40149, 418 өлім жағдайы тіркелді, ал жазылып шыққандардың саны 29556 жетті.
","Оған қоса жетпіс бір адам емделіп шықты  бірінші тамыздан барлығы: ауырғандар   қырық мың жүз қырық тоғыз, төрт жүз он сегіз өлім жағдайы тіркелді, ал жазылып шыққандардың саны жиырма тоғыз мың бес жүз елу алты жетті 
"
"Өткен тәулікте коронавирустық инфекция белгілері бар пневмонияның 226 жағдайы және 2 өлім жағдайы тіркелді.
","Өткен тәулікте коронавирустық инфекция белгілері бар пневмонияның екі жүз жиырма алты жағдайы және екі өлім жағдайы тіркелді 
"
"Оған қоса 71 адам емделіп шықты. 1 тамыздан барлығы: ауырғандар - 40149, 418 өлім жағдайы тіркелді, ал жазылып шыққандардың саны 29556 жетті.
","Оған қоса жетпіс бір адам емделіп шықты  бірінші тамыздан барлығы: ауырғандар   қырық мың жүз қырық тоғыз, төрт жүз он сегіз өлім жағдайы тіркелді, ал жазылып шыққандардың саны жиырма тоғыз мың бес жүз елу алты жетті 
"
"Өткен тәулікте коронавирустық инфекция белгілері бар пневмонияның 226 жағдайы және 2 өлім жағдайы тіркелді.
","Өткен тәулікте коронавирустық инфекция белгілері бар пневмонияның екі жүз жиырма алты жағдайы және екі өлім жағдайы тіркелді 
"
"Оған қоса 71 адам емделіп шықты. 1 тамыздан барлығы: ауырғандар - 40149, 418 өлім жағдайы тіркелді, ал жазылып шыққандардың саны 29556 жетті.
","Оған қоса жетпіс бір адам емделіп шықты  бірінші тамыздан барлығы: ауырғандар   қырық мың жүз қырық тоғыз, төрт жүз он сегіз өлім жағдайы тіркелді, ал жазылып шыққандардың саны жиырма тоғыз мың бес жүз елу алты жетті 
"
"Өткен тәулікте коронавирустық инфекция белгілері бар пневмонияның 226 жағдайы және 2 өлім жағдайы тіркелді.
","Өткен тәулікте коронавирустық инфекция белгілері бар пневмонияның екі жүз жиырма алты жағдайы және екі өлім жағдайы тіркелді 
"
"Оған қоса 71 адам емделіп шықты. 1 тамыздан барлығы: ауырғандар - 40149, 418 өлім жағдайы тіркелді, ал жазылып шыққандардың саны 29556 жетті.
","Оған қоса жетпіс бір адам емделіп шықты  бірінші тамыздан барлығы: ауырғандар   қырық мың жүз қырық тоғыз, төрт жүз он сегіз өлім жағдайы тіркелді, ал жазылып шыққандардың саны жиырма тоғыз мың бес жүз елу алты жетті 
"
"Өткен тәулікте коронавирустық инфекция белгілері бар пневмонияның 226 жағдайы және 2 өлім жағдайы тіркелді.
","Өткен тәулікте коронавирустық инфекция белгілері бар пневмонияның екі жүз жиырма алты жағдайы және екі өлім жағдайы тіркелді 
"
"Оған қоса 71 адам емделіп шықты. 1 тамыздан барлығы: ауырғандар - 40149, 418 өлім жағдайы тіркелді, ал жазылып шыққандардың саны 29556 жетті.
","Оған қоса жетпіс бір адам емделіп шықты  бірінші тамыздан барлығы: ауырғандар   қырық мың жүз қырық тоғыз, төрт жүз он сегіз өлім жағдайы тіркелді, ал жазылып шыққандардың саны жиырма тоғыз мың бес жүз елу алты жетті 
"
"Өткен тәулікте коронавирустық инфекция белгілері бар пневмонияның 226 жағдайы және 2 өлім жағдайы тіркелді.
","Өткен тәулікте коронавирустық инфекция белгілері бар пневмонияның екі жүз жиырма алты жағдайы және екі өлім жағдайы тіркелді 
"
"Оған қоса 71 адам емделіп шықты. 1 тамыздан барлығы: ауырғандар - 40149, 418 өлім жағдайы тіркелді, ал жазылып шыққандардың саны 29556 жетті.
","Оған қоса жетпіс бір адам емделіп шықты  бірінші тамыздан барлығы: ауырғандар   қырық мың жүз қырық тоғыз, төрт жүз он сегіз өлім жағдайы тіркелді, ал жазылып шыққандардың саны жиырма тоғыз мың бес жүз елу алты жетті 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Алматыда қару-жарақ шығаратын цех әшкереленді
","« Алматыда қаружарақ шығаратын цех әшкереленді
"
"Хромтауда газ баллоны жарылып, 9 адам зардап шекті »
","Хромтауда газ баллоны жарылып, тоғыз адам зардап шекті »
"
"Елде 3 жарым мыңнан аса ауыл жаңғыртылады.
","Елде үш жарым мыңнан аса ауыл жаңғыртылады 
"
"Күре жолдар 100 процент жаңартылады.
","Күре жолдар жүз процент жаңартылады 
"
"Ал саяси партиялардың Мәжіліске өту шегі 7-ден 5 процентке дейін төмендетіледі.
","Ал саяси партиялардың Мәжіліске өту шегі жетіден бес процентке дейін төмендетіледі 
"
"Ал саяси партиялардың Мәжіліске өту шегі 7-ден 5 процентке дейін төмендетіледі. Бұл туралы жетінші шақырылған Парламенттің бірінші сессиясында Президент Қасым-Жомарт Тоқаев айтты. Алқалы жиында тағы қандай мәселелер көтерілді?
","Ал саяси партиялардың Мәжіліске өту шегі жетіден бес процентке дейін төмендетіледі  Бұл туралы жетінші шақырылған Парламенттің бірінші сессиясында Президент Қасым Жомарт Тоқаев айтты  Алқалы жиында тағы қандай мәселелер көтерілді?
"
"Осы тақырып бойынша өзге материалдар:
","Осы тақырып бойынша өзге материалдар:
"
"Сот жүйесі жабық корпорация болмауы тиіс – Қ.
","Сот жүйесі жабық корпорация болмауы тиіс   Қ 
"
"Тоқаев
","Тоқаев
"
"ҚР Президенті: Сенім мандатына ие болған депутаттар ел үмітін ақтайды деп сенемін
","ҚР Президенті: Сенім мандатына ие болған депутаттар ел үмітін ақтайды деп сенемін
"
"Елімізде 3500-ден астам ауыл жаңғыртылады
","Елімізде үш мың бес жүзден астам ауыл жаңғыртылады
"
"Қ.
","Қ 
"
"Тоқаев өткен сайлау саяси бәсекені арттыруға оң ықпал еткенін айтты
","Тоқаев өткен сайлау саяси бәсекені арттыруға оң ықпал еткенін айтты
"
"Қазақстанда саяси партиялардың Мәжіліске өту шегі төмендетілмек
","Қазақстанда саяси партиялардың Мәжіліске өту шегі төмендетілмек
"
"Президент «жастардың әлеуметтік қызметтері» ұғымын рәсімдеуді тапсырды
","Президент «жастардың әлеуметтік қызметтері» ұғымын рәсімдеуді тапсырды
"
"Сайлау бюллетеньдеріне «бәріне қарсымын» деген жазу енгізген жөн – Президент
","Сайлау бюллетеньдеріне «бәріне қарсымын» деген жазу енгізген жөн   Президент
"
"Мемлекет басшысы балалар арасындағы суицид пен буллингтің алдын алуды тапсырды
","Мемлекет басшысы балалар арасындағы суицид пен буллингтің алдын алуды тапсырды
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Мемлекет басшысы Парламенттің алдындағы маңызды екі міндетті атады
","« Мемлекет басшысы Парламенттің алдындағы маңызды екі міндетті атады
"
"Президент: Күш-жігерімізді тиімді мемлекет пен әділетті қоғам құруға жұмылдыруымыз керек »
","Президент: Күшжігерімізді тиімді мемлекет пен әділетті қоғам құруға жұмылдыруымыз керек »
"
"19 сәуір күні 8:30-да Павлодар облысы «Ертіс орманы» резерватындағы өрт ауыздықталды.
","он тоғызыншы сәуір күні сегіз:отызда Павлодар облысы «Ертіс орманы» резерватындағы өрт ауыздықталды 
"
"Бұл туралы ТЖМ ресми өкілі Талғат Уәли мәлімдеді.
","Бұл туралы ТЖМ ресми өкілі Талғат Уәли мәлімдеді 
"
"«Ішкі жану мен қатты желге байланысты от үш бағытта таралды.
","«Ішкі жану мен қатты желге байланысты от үш бағытта таралды 
"
"Екі бағыт бойынша қарауылдау, үшінші бағытта сөндіру жұмыстары жүргізілді.
","Екі бағыт бойынша қарауылдау, үшінші бағытта сөндіру жұмыстары жүргізілді 
"
"Өрттің ауданы шамамен 1000 га құрады.
","Өрттің ауданы шамамен бір мың га құрады 
"
"Оның ішінде орманды алқап 300 га құрайды.
","Оның ішінде орманды алқап үш жүз га құрайды 
"
"Өртті сөндіруге 50 бірлік техника және 206 адам жұмылдырылды.
","Өртті сөндіруге елу бірлік техника және екі жүз алты адам жұмылдырылды 
"
"Оның ішінде 112 дана аспалы бүркігіштер және шартылдақ аспаптар (хлопушка) қолданылды», - делінген ҚР ТЖМ хабарламасында.
","Оның ішінде жүз он екі дана аспалы бүркігіштер және шартылдақ аспаптар (хлопушка) қолданылды»,   делінген ҚР ТЖМ хабарламасында 
"
"Естеріңізге сала кетейік, 18 сәуірде 13:34-те Павлодар облысы ТЖД Дағдарыс жағдайындағы басқармасына табиғи өрттің шығуы, атап айтқанда Шарбақты ауданы Галкин ауылдық округі дала орманшылығының орман аумағында № 149,70 кварталдарда құрғақ шөп пен ағаштың жанғаны туралы хабарлама келіп түскен.
","Естеріңізге сала кетейік, он сегізінші сәуірде он үш:отыз төртте Павлодар облысы ТЖД Дағдарыс жағдайындағы басқармасына табиғи өрттің шығуы, атап айтқанда Шарбақты ауданы Галкин ауылдық округі дала орманшылығының орман аумағында номер жүз қырық тоғыз бүтін оннан жеті кварталдарда құрғақ шөп пен ағаштың жанғаны туралы хабарлама келіп түскен 
"
"Бұл аумақ Шарбақты ауылының №7 өрт сөндіру бөлімінен 60 шақырымда орналасқан.
","Бұл аумақ Шарбақты ауылының номержеті өрт сөндіру бөлімінен алпыс шақырымда орналасқан 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Қазақстан экспорттаушы елдерге 8 мың тоннадан астам өнімді кері қайтарды
","« Қазақстан экспорттаушы елдерге сегіз мың тоннадан астам өнімді кері қайтарды
"
"Елорданың тағы бір сауда орталығында вакциналау пункті ашылды »
","Елорданың тағы бір сауда орталығында вакциналау пункті ашылды »
"
"Үндістан астанасын көк түтін тұмшалады. 20 миллионнан аса халқы бар Нью-Дели - әлемдегі ауасы ең лас қалалардың бірі.
","Үндістан астанасын көк түтін тұмшалады  жиырма миллионнан аса халқы бар Нью Дели   әлемдегі ауасы ең лас қалалардың бірі 
"
"Жыл сайын қазан айының ортасынан бастап бұл шаһарды қалың тұман басып тұрады.
","Жыл сайын қазан айының ортасынан бастап бұл шаһарды қалың тұман басып тұрады 
"
"Осы кезде шаң-тозаңды жерге басатын маусымды жаңбыр - муссон аяқталады.
","Осы кезде шаңтозаңды жерге басатын маусымды жаңбыр   муссон аяқталады 
"
"Сондай-ақ қалаға іргелес екі штатта егінді жинап, келесі егіске дайындау үшін алқаптарда қалған сабанды жағады.
","Сондайақ қалаға іргелес екі штатта егінді жинап, келесі егіске дайындау үшін алқаптарда қалған сабанды жағады 
"
"Ал жылдың бұл кезінде жел бағыты өзгеріп, ол Нью-Дели қаласына соғады.
","Ал жылдың бұл кезінде жел бағыты өзгеріп, ол Нью Дели қаласына соғады 
"
"Ал жылдың бұл кезінде жел бағыты өзгеріп, ол Нью-Дели қаласына соғады. Локдаунға байланысты қыркүйек айына дейін шаһарда ауа біраз тазарған болатын. Алайда кәсіпорындар жұмысын қайта бастап, оған темір тұлпарлардың түтіні де қосылды.
","Ал жылдың бұл кезінде жел бағыты өзгеріп, ол Нью Дели қаласына соғады  Локдаунға байланысты қыркүйек айына дейін шаһарда ауа біраз тазарған болатын  Алайда кәсіпорындар жұмысын қайта бастап, оған темір тұлпарлардың түтіні де қосылды 
"
"Сондай-ақ қалаға іргелес екі штатта егінді жинап, келесі егіске дайындау үшін алқаптарда қалған сабанды жағады. Ал жылдың бұл кезінде жел бағыты өзгеріп, ол Нью-Дели қаласына соғады. Локдаунға байланысты қыркүйек айына дейін шаһарда ауа біраз тазарған болатын. Алайда кәсіпорындар жұмысын қайта бастап, оған темір тұлпарлардың түтіні де қосылды.Осының салдарынан қала халқы көк түтіннен көз ашпай отыр. Ауаның ластануы салдарынан тыныс алу жолдары ауыратын науқастар көп. Сондықтан сарапшылар «олар үшін коронавирустың салдары ауыр болуы мүмкін» деп қауіптенеді.
","Сондайақ қалаға іргелес екі штатта егінді жинап, келесі егіске дайындау үшін алқаптарда қалған сабанды жағады  Ал жылдың бұл кезінде жел бағыты өзгеріп, ол Нью Дели қаласына соғады  Локдаунға байланысты қыркүйек айына дейін шаһарда ауа біраз тазарған болатын  Алайда кәсіпорындар жұмысын қайта бастап, оған темір тұлпарлардың түтіні де қосылды Осының салдарынан қала халқы көк түтіннен көз ашпай отыр  Ауаның ластануы салдарынан тыныс алу жолдары ауыратын науқастар көп  Сондықтан сарапшылар «олар үшін коронавирустың салдары ауыр болуы мүмкін» деп қауіптенеді 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Филиппинде «Молаве» тайфуны салдарынан 12 адам із-түзсіз жоғалып кетті
","« Филиппинде «Молаве» тайфуны салдарынан он екі адам ізтүзсіз жоғалып кетті
"
"Бундестаг төрағасының орынбасары қайтыс болды »
","Бундестаг төрағасының орынбасары қайтыс болды »
"
"«Спейс-Икс» компаниясы ғарышқа 60 шағын жерсерігін аттандырды.
","«Спейс Икс» компаниясы ғарышқа алпыс шағын жерсерігін аттандырды 
"
"Бұл ғарыш құралдары интернет желісін тартуға арналған.
","Бұл ғарыш құралдары интернет желісін тартуға арналған 
"
"Зымыран АҚШ-тың Канаверал мүйісіндегі ғарыш айлағынан жіберілген.
","Зымыран АҚШ тың Канаверал мүйісіндегі ғарыш айлағынан жіберілген 
"
"Бұл «Спейс-Икс» ғарыш құралдарының биыл 10-рет көкке көтерілуі.
","Бұл «Спейс Икс» ғарыш құралдарының биыл оныншы рет көкке көтерілуі 
"
"Бұл «Спейс-Икс» ғарыш құралдарының биыл 10-рет көкке көтерілуі. Компанияның негізін қалаушы Илон Масктың жоспары бойынша орбитадағы интернет жерсеріктерінің саны 1 мың 440-қа жеткізілмек. Бұл жоба «Стар Линк» деп аталады.
","Бұл «Спейс Икс» ғарыш құралдарының биыл оныншы рет көкке көтерілуі  Компанияның негізін қалаушы Илон Масктың жоспары бойынша орбитадағы интернет жерсеріктерінің саны бір мың төрт жүз қырыққа жеткізілмек  Бұл жоба «Стар Линк» деп аталады 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Кубада коронавирустың бес түрлі мутациясы анықталды
","« Кубада коронавирустың бес түрлі мутациясы анықталды
"
"Техас штатында фабрика кеңсесіндегі атыстан төрт адам жараланды »
","Техас штатында фабрика кеңсесіндегі атыстан төрт адам жараланды »
"
"Бүйірден қысқан қымбатшылық.
","Бүйірден қысқан қымбатшылық 
"
"Солтүстік Қазақстан облысында жанармай тағы да қымбаттады, деп хабарлайды «Хабар 24».
","Солтүстік Қазақстан облысында жанармай тағы да қымбаттады, деп хабарлайды «Хабар жиырма төрт» 
"
"Бензиннің бағасы соңғы бірнеше айда үшінші мәрте көтерілді.
","Бензиннің бағасы соңғы бірнеше айда үшінші мәрте көтерілді 
"
"Қазір жанар-жағармай құю бекеттерінде сұранысқа ие АИ-92 маркалы бензиннің литрі 178 теңгеден сатылып жатыр.
","Қазір жанаржағармай құю бекеттерінде сұранысқа ие АИ тоқсан екі маркалы бензиннің литрі жүз жетпіс сегіз теңгеден сатылып жатыр 
"
"Осыған дейін ол 169 болған еді.
","Осыған дейін ол жүз алпыс тоғыз болған еді 
"
"Жауаптылар мұны Атырау мұнай-газ зауытының жөндеуге жабылуымен байланыстырады.
","Жауаптылар мұны Атырау мұнайгаз зауытының жөндеуге жабылуымен байланыстырады 
"
"Ләззат Ғалиева, облыстық кәсіпкерлік және индустриялық-инновациялық даму басқармасының бөлім басшысы:
","Ләззат Ғалиева, облыстық кәсіпкерлік және индустриялықинновациялық даму басқармасының бөлім басшысы:
"
"- Қазір бізге бензин Павлодардан тасымалданып жатыр.
","  Қазір бізге бензин Павлодардан тасымалданып жатыр 
"
"Елімізде екі зауыт ғана жұмыс істеп тұр.
","Елімізде екі зауыт ғана жұмыс істеп тұр 
"
"Оның үстіне бұл кәсіпорын да бағаны көтерген.
","Оның үстіне бұл кәсіпорын да бағаны көтерген 
"
"Сондықтан біз министрлікке біздің өңірге бөлінетін бензин көлемін арттыруды сұрап хат жаздық.
","Сондықтан біз министрлікке біздің өңірге бөлінетін бензин көлемін арттыруды сұрап хат жаздық 
"
"Әзір жауап күтіп отырмыз.
","Әзір жауап күтіп отырмыз 
"
"Ал баға қайтадан өз орнына келеді ме, жоқ па ол белгісіз.
","Ал баға қайтадан өз орнына келеді ме, жоқ па ол белгісіз 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Павлодар облысында «Вакцинация волонтерлері» атты науқан басталды
","« Павлодар облысында «Вакцинация волонтерлері» атты науқан басталды
"
"Қостанайда үйлерге еріген қар суы кіре бастады »
","Қостанайда үйлерге еріген қар суы кіре бастады »
"
"ҚР премьер-министрі Асқар Маминнің төрағалығымен өткен Үкімет отырысында салықтық және кедендік әкімшілендіру мәселелері қаралды.
","ҚР премьерминистрі Асқар Маминнің төрағалығымен өткен Үкімет отырысында салықтық және кедендік әкімшілендіру мәселелері қаралды 
"
"Қаржы министрі Ерұлан Жамаубаев баяндама жасады, деп хабарлады primeminister.kz.
","Қаржы министрі Ерұлан Жамаубаев баяндама жасады, деп хабарлады примеминистер кз 
"
"«Бизнесті қолдау үшін өткен жылы Қазақстанда 700 мыңнан астам заңды тұлға мен жеке кәсіпкерлерді қамти отырып, салықтық ынталандырудың ауқымды шаралары іске асырылды», – деді А.
","«Бизнесті қолдау үшін өткен жылы Қазақстанда жеті жүз мыңнан астам заңды тұлға мен жеке кәсіпкерлерді қамти отырып, салықтық ынталандырудың ауқымды шаралары іске асырылды»,   деді А 
"
"Мамин.
","Мамин 
"
"Қазіргі кезде микро және шағын бизнес субъектілерін тексеруге 3 жылдық мораторий жалғасып жатыр (2023 жылғы 1 қаңтарға дейін) және арнайы салық режимдерін қолданатын ШОБ субъектілері табыс салығынан босатылды.
","Қазіргі кезде микро және шағын бизнес субъектілерін тексеруге үш жылдық мораторий жалғасып жатыр (екі мың жиырма үшінші жылғы бірінші қаңтарға дейін) және арнайы салық режимдерін қолданатын ШОБ субъектілері табыс салығынан босатылды 
"
"Бұл шаралар кәсіпкерлерге 3 жыл ішінде өз бизнесін кеңейтіп, дамытуға шамамен 400 млрд теңге жұмсауға мүмкіндік береді.
","Бұл шаралар кәсіпкерлерге үш жыл ішінде өз бизнесін кеңейтіп, дамытуға шамамен төрт жүз миллиардов теңге жұмсауға мүмкіндік береді 
"
"Мемлекет басшысының тапсырмасы бойынша биылғы 1 қаңтардан бастап ерікті түрде қолданылатын бөлшек салықтың жаңа арнайы салық режимі енгізілді.
","Мемлекет басшысының тапсырмасы бойынша биылғы бірінші қаңтардан бастап ерікті түрде қолданылатын бөлшек салықтың жаңа арнайы салық режимі енгізілді 
"
"Салық мөлшерлемесі алынған кірістің 3% көлемінде белгіленген.
","Салық мөлшерлемесі алынған кірістің үш проценттер  көлемінде белгіленген 
"
"Үкімет осы режимді қолдану үшін қызмет түрлерінің тізбесін анықтады.
","Үкімет осы режимді қолдану үшін қызмет түрлерінің тізбесін анықтады 
"
"Тізбеде пандемия кезеңінде карантиндік шектеу шаралары қолданылған қызмет түрлері қарастырылған.
","Тізбеде пандемия кезеңінде карантиндік шектеу шаралары қолданылған қызмет түрлері қарастырылған 
"
"Режим ШОБ субъектілеріне салық жүктемесін азайтуды қамтамасыз ету және бюджетке төлемдер мен салық төлеу тәртібін оңтайландыру үшін дағдарысқа қарсы шара ретінде 2 жылға есептелген.
","Режим ШОБ субъектілеріне салық жүктемесін азайтуды қамтамасыз ету және бюджетке төлемдер мен салық төлеу тәртібін оңтайландыру үшін дағдарысқа қарсы шара ретінде екі жылға есептелген 
"
"Жеке тұлғалардың салық міндеттемелерін орындауын жеңілдету үшін биылғы жылдан бастап мүлік пен жерге салынатын салықтар бірыңғай төлемге біріктіріліп, көппәтерлі тұрғын үйлердің меншік иелері үшін жер салығы алынып тасталды.
","Жеке тұлғалардың салық міндеттемелерін орындауын жеңілдету үшін биылғы жылдан бастап мүлік пен жерге салынатын салықтар бірыңғай төлемге біріктіріліп, көппәтерлі тұрғын үйлердің меншік иелері үшін жер салығы алынып тасталды 
"
"Үкімет басшысы Қаржы министрлігіне Цифрлық даму министрлігімен бірлесіп, салықтық әкімшілендірудің ақпараттық жүйелерін жаңғырту және оларды басқа мемлекеттік органдармен заманауи әдістерді, соның ішінде блокчейн мен үлкен деректерді қолдана отырып интеграциялау жөнінде пәрменді шаралар қабылдауды тапсырды.
","Үкімет басшысы Қаржы министрлігіне Цифрлық даму министрлігімен бірлесіп, салықтық әкімшілендірудің ақпараттық жүйелерін жаңғырту және оларды басқа мемлекеттік органдармен заманауи әдістерді, соның ішінде блокчейн мен үлкен деректерді қолдана отырып интеграциялау жөнінде пәрменді шаралар қабылдауды тапсырды 
"
"«Салық төлеушілер мен бизнеске ыңғайлы болу үшін әзірленген «Е-Salyq Azamat» (салық әмияны) және «E-Salyq Business» тегін мобильді қосымшаларын белсенді түрде ілгерілету керек.
","«Салық төлеушілер мен бизнеске ыңғайлы болу үшін әзірленген «Е Салыq Азамат» (салық әмияны) және «Е Салыq Бусинесс» тегін мобильді қосымшаларын белсенді түрде ілгерілету керек 
"
"Мемлекет басшысының тапсырмасы аясында Қаржы министрлігіне жеке кәсіпкерлер үшін онлайн-БКМ мен POS-терминалдарды пайдалану кезінде есептілікті автоматты түрде толтыру мәселесін сапалы түрде пысықтау қажет», – деді А.
","Мемлекет басшысының тапсырмасы аясында Қаржы министрлігіне жеке кәсіпкерлер үшін онлайн БКМ мен ПОС терминалдарды пайдалану кезінде есептілікті автоматты түрде толтыру мәселесін сапалы түрде пысықтау қажет»,   деді А 
"
"Мамин.
","Мамин 
"
"Премьер-министр Мемлекет басшысының тапсырмасын орындау аясында осы жылдың наурыз айының соңына дейін Шекарадағы заңсыз сауда айналымына қарсы іс-қимылдың кешенді жоспарына ұсыныстар дайындау қажеттігін атап өтті.
","Премьерминистр Мемлекет басшысының тапсырмасын орындау аясында осы жылдың наурыз айының соңына дейін Шекарадағы заңсыз сауда айналымына қарсы ісқимылдың кешенді жоспарына ұсыныстар дайындау қажеттігін атап өтті 
"
"Биыл Реформалар жөніндегі Жоғары кеңестің отырысында (биылғы 29 қаңтарда) қаралған ШОБ қолдау жөніндегі қосымша шараларды іске асыру мақсатында премьер-министр биылғы 1 наурызға дейін салық заңнамасына қажетті түзетулер дайындауды тапсырды.
","Биыл Реформалар жөніндегі Жоғары кеңестің отырысында (биылғы жиырма тоғызыншы қаңтарда) қаралған ШОБ қолдау жөніндегі қосымша шараларды іске асыру мақсатында премьерминистр биылғы бірінші наурызға дейін салық заңнамасына қажетті түзетулер дайындауды тапсырды 
"
"«Ұсынылып отырған өзгерістер 500 мыңға жуық жалдамалы қызметкерді ресми жұмысқа тартуға, еңбекақы төлеу қорына жүктемені азайтуға, салық міндеттемелерін орындау тәртібін жеңілдетуге және республика экономикасына жаңа инвестициялар тартуға мүмкіндік береді», – деді А.
","«Ұсынылып отырған өзгерістер бес жүз мыңға жуық жалдамалы қызметкерді ресми жұмысқа тартуға, еңбекақы төлеу қорына жүктемені азайтуға, салық міндеттемелерін орындау тәртібін жеңілдетуге және республика экономикасына жаңа инвестициялар тартуға мүмкіндік береді»,   деді А 
"
"Мамин.
","Мамин 
"
"Осы категория бойынша:
","Осы категория бойынша:
"
"« Президент Қаржы нарығын реттеу және дамыту агенттігінің төрағасын қабылдады
","« Президент Қаржы нарығын реттеу және дамыту агенттігінің төрағасын қабылдады
"
"Қазақстанда ЖЭК үлесі 2025 жылға қарай 6%-ке жетеді »
","Қазақстанда ЖЭК үлесі екі мың жиырма бесінші жылға қарай алты процентке  жетеді »
"
"Жапонияның солтүстігінде соңғы бірнеше күнде жапалақтап жауған қардан көлік қатынасы тұралап, халық әуреге түсіп жатыр.
","Жапонияның солтүстігінде соңғы бірнеше күнде жапалақтап жауған қардан көлік қатынасы тұралап, халық әуреге түсіп жатыр 
"
"Тас жолдарда көліктер қарға батып, жүре алмай жатыр.
","Тас жолдарда көліктер қарға батып, жүре алмай жатыр 
"
"Фукуи префектурасында 120 көлік тұрып қалса, Тояма аймағындағы тас жолдың бірінде 80 көлік қалып қойған.
","Фукуи префектурасында жүз жиырма көлік тұрып қалса, Тояма аймағындағы тас жолдың бірінде сексен көлік қалып қойған 
"
"Темір жолдарды қар басып, бірқатар өңірде пойыздар жүрісі уақытша тоқтатылған.
","Темір жолдарды қар басып, бірқатар өңірде пойыздар жүрісі уақытша тоқтатылған 
"
"Жапалақтап жауған қардың биіктігі 1 метрден асады.
","Жапалақтап жауған қардың биіктігі бір метрден асады 
"
"Көп жерлерде коммуналдық қызметтер жолдарды ашып, үлгермей жатыр.
","Көп жерлерде коммуналдық қызметтер жолдарды ашып, үлгермей жатыр 
"
"Ауа райын болжаушылар Жапон теңізіне жақын кей аймақтарда қар әлі де жауатынын ескертіп жатыр.
","Ауа райын болжаушылар Жапон теңізіне жақын кей аймақтарда қар әлі де жауатынын ескертіп жатыр 
"
